num,times
315,1
205,1
319,1
611,1
323,1
330,1
161,1
171,1
342,1
185,1
242,1
260,1
195,1
144,1
247,1
176,1
191,1
168,1
202,1
210,1
233,1
182,1
199,1
102,1
181,1
561,1
309,1
335,1
326,1
160,1
212,1
98,1
158,1
140,1
163,1
201,1
279,1
226,1
357,1
255,1
204,1
92,1
138,1
346,1
229,1
130,1
275,1
100,1
96,1
178,1
113,1
317,1
686,1
213,1
200,1
141,1
421,1
143,1
83,1
145,1
112,1
3210,1
127,1
394,1
222,1
174,1
209,1
345,2
146,2
278,2
116,2
118,2
142,2
128,2
131,2
148,2
114,2
111,2
91,2
89,2
93,2
190,2
152,2
126,2
86,2
84,2
169,2
115,2
133,2
103,2
80,2
109,2
77,2
258,3
136,3
94,3
186,3
125,3
105,3
90,3
87,3
78,3
121,3
164,4
85,4
110,4
139,4
95,4
107,4
81,4
99,5
75,5
97,5
71,5
68,5
76,6
101,6
64,6
106,6
70,6
58,6
82,6
74,7
67,7
88,7
69,7
59,7
73,7
57,8
61,9
79,10
62,11
56,11
72,11
66,11
55,13
48,13
53,14
54,14
63,15
60,15
65,15
46,16
52,16
51,17
49,18
47,20
50,20
44,22
42,26
41,28
45,30
39,30
43,30
40,31
35,32
36,43
38,44
37,45
34,48
31,54
33,58
29,60
32,61
30,64
28,79
27,87
26,95
25,103
24,105
23,108
22,156
21,167
20,174
19,198
18,202
17,261
16,290
15,355
14,453
13,472
12,631
11,736
10,953
9,1170
8,1624
7,2179
6,3233
5,5006
4,9287
3,17366
2,44698
1,223532
0,9496708
