num,times
21744,1
815,1
13465,1
1544,1
1591,1
802,1
1252,1
1960,1
782,1
468,1
731,1
642,1
617,1
874,1
541,1
382,1
923,1
470,1
409,1
752,1
1500,1
337,1
1010,1
658,1
550,1
398,1
2094,1
1023,1
707,1
801,1
622,1
730,1
485,1
575,1
338,1
421,1
691,1
722,1
4602,1
850,1
2918,1
917,1
2867,1
678,1
1972,1
3011,1
1412,1
1353,1
854,1
634,1
753,1
8561,1
2164,1
564,1
699,1
353,1
706,1
16066,1
1764,1
501,1
1108,1
403,1
851,1
781,1
1403,1
789,1
1231,1
755,1
708,1
1100,1
427,1
713,1
813,1
390,1
769,1
477,1
526,1
473,1
336,1
1910,1
386,1
299,1
1300,1
598,1
2337,1
619,1
1021,1
948,1
379,1
495,1
342,1
476,1
405,1
433,1
682,1
580,1
9407,1
4339,1
732,1
873,1
1164,1
670,1
578,1
1410,1
539,1
1048,1
458,1
742,1
486,1
411,1
959,1
431,1
700,1
312,1
645,1
401,1
896,1
514,1
589,1
1312,1
387,1
503,1
422,1
906,1
981,1
579,1
808,1
1376,1
322,1
419,1
397,1
2543,1
574,1
1513,1
370,1
393,1
426,1
424,1
462,1
2144,1
745,1
783,1
525,1
774,1
454,1
750,1
1277,1
1036,1
517,1
1637,1
482,1
964,1
1317,1
1934,1
5358,1
567,1
345,1
344,1
1261,1
425,1
359,1
480,1
2528,1
631,1
2182,1
464,1
668,1
609,1
449,1
558,1
785,1
347,1
445,1
533,1
1054,1
3100,1
308,1
721,1
1809,1
16767,1
773,1
2975,1
624,1
1096,1
1432,1
478,1
913,1
520,1
635,1
512,1
549,1
1416,1
684,1
557,1
1190,1
475,1
666,1
1616,1
17823,1
626,1
590,1
625,1
434,1
415,1
360,1
570,1
4923,1
509,1
621,1
1093,1
1080,1
744,1
7921,1
355,1
915,1
499,1
995,1
571,1
3914,1
644,1
2298,1
333,1
400,1
3673,1
3184,1
620,1
639,1
1066,1
1675,1
27307,1
1245,1
1671,1
2056,1
534,1
853,1
484,1
1265,1
1925,1
1749,1
9308,1
1146,1
1128,1
607,1
791,1
659,1
1672,1
385,1
388,1
5822,1
787,1
6543,1
504,1
586,1
1132,1
663,1
797,1
516,1
1003,1
3940,1
986,1
364,2
442,2
346,2
446,2
643,2
435,2
412,2
350,2
587,2
396,2
582,2
518,2
334,2
340,2
725,2
363,2
293,2
466,2
417,2
292,2
946,2
301,2
368,2
438,2
432,2
459,2
341,2
491,2
362,2
407,2
489,2
306,2
890,2
358,2
536,2
633,2
395,2
599,2
488,2
474,2
429,2
414,2
413,2
448,2
453,2
326,2
282,2
683,2
440,2
319,2
610,2
352,2
372,2
348,2
356,2
736,2
444,2
443,2
351,2
300,2
328,2
343,2
829,2
305,2
601,2
471,2
399,2
349,2
392,2
284,2
481,2
252,3
479,3
295,3
391,3
472,3
394,3
283,3
528,3
436,3
366,3
361,3
402,3
316,3
325,3
384,3
303,3
323,3
324,3
320,3
452,3
532,3
291,3
268,3
309,3
314,3
290,3
375,3
246,3
327,3
289,3
556,3
572,3
834,3
437,3
492,3
329,4
294,4
273,4
418,4
298,4
253,4
302,4
335,4
317,4
278,4
267,4
389,4
332,4
331,4
243,4
271,4
354,4
286,4
507,4
285,4
369,4
321,4
406,4
275,4
371,4
383,4
307,5
263,5
296,5
277,5
231,5
297,5
255,5
261,5
288,5
248,5
265,5
272,5
315,5
378,6
339,6
225,6
264,6
240,6
235,6
281,6
266,6
376,6
260,6
227,6
232,6
318,6
207,7
330,7
226,7
238,7
257,7
245,7
259,7
274,7
276,7
229,7
310,7
249,7
313,7
287,8
213,8
242,8
234,8
241,8
228,8
254,8
194,8
270,8
208,9
244,9
195,9
247,9
211,9
205,9
233,9
304,9
216,9
209,9
183,10
177,10
214,10
201,10
203,10
239,10
251,10
204,10
236,10
218,10
280,10
269,10
256,11
206,11
223,11
215,11
188,11
279,11
224,11
217,11
250,12
258,12
222,12
185,12
237,13
230,13
198,13
210,13
197,13
192,13
180,13
221,14
182,14
163,14
190,14
200,14
193,14
212,14
220,14
171,15
173,15
179,15
202,15
219,15
184,16
191,16
174,16
189,16
196,16
146,16
186,16
167,17
176,17
187,17
199,17
169,17
159,18
181,19
168,19
166,19
160,19
172,19
158,22
152,22
155,23
170,23
156,23
162,23
178,23
175,24
164,25
143,25
148,25
145,26
149,26
153,26
154,27
157,28
147,28
139,28
150,28
140,29
144,29
161,30
126,31
141,31
151,31
142,35
129,35
165,36
136,36
125,36
137,37
134,38
135,39
128,40
138,42
127,42
130,43
133,43
132,44
131,48
114,48
123,48
122,49
113,49
121,50
120,52
115,53
117,55
119,55
118,58
109,58
112,58
124,59
108,60
116,64
111,66
105,67
107,68
104,71
95,80
100,81
99,82
106,82
110,83
94,83
98,86
101,86
103,89
93,91
102,98
88,98
96,102
97,106
92,108
89,110
85,111
91,115
87,119
90,120
86,127
82,130
83,131
84,140
81,147
80,153
79,154
76,155
78,159
74,163
77,164
73,175
69,180
75,182
72,183
71,202
70,205
67,214
68,225
66,231
65,234
64,267
63,281
62,289
61,291
60,306
59,318
58,337
56,338
57,366
55,415
54,418
53,419
51,450
52,453
49,491
50,497
48,532
47,543
46,577
45,615
43,666
44,698
42,746
41,778
40,834
39,837
38,861
37,932
36,1070
35,1079
34,1151
33,1198
32,1312
31,1379
30,1504
29,1683
28,1794
27,1865
26,2066
25,2337
24,2435
23,2676
22,2914
21,3202
20,3492
19,3817
18,4468
17,4861
16,5221
15,6016
14,6894
13,7895
12,8990
11,10473
10,12440
9,14864
8,17579
7,21906
6,28152
5,37241
4,50072
3,73731
2,123295
1,287425
0,3093319
